country rate year 
Bhutan 6.67 1969 
Bhutan 6.67 1970 
Bhutan 6.67 1971 
Bolivia 6.67 1961 
Bolivia 6.65 1962 
Bolivia 6.63 1963 
Bolivia 6.61 1964 
Bolivia 6.59 1965 
Bolivia 6.59 1966 
Bolivia 6.59 1967 
Bolivia 6.59 1968 
Bolivia 6.59 1969 
Bolivia 6.58 1970 
Bolivia 6.55 1971 
Bosnia and Herzegovina 3.74 1961 
Bosnia and Herzegovina 3.68 1962 
Bosnia and Herzegovina 3.6 1963 
Bosnia and Herzegovina 3.52 1964 
Bosnia and Herzegovina 3.42 1965 
Bosnia and Herzegovina 3.31 1966 
Bosnia and Herzegovina 3.21 1967 
Bosnia and Herzegovina 3.11 1968 
Bosnia and Herzegovina 3.02 1969 
Bosnia and Herzegovina 2.93 1970 
Bosnia and Herzegovina 2.84 1971 
Botswana 6.63 1961 
Botswana 6.65 1962 
Botswana 6.67 1963 
Botswana 6.68 1964 
Botswana 6.69 1965 
Botswana 6.7 1966 
Botswana 6.7 1967 
Botswana 6.69 1968 
Botswana 6.67 1969 
Botswana 6.65 1970 
Botswana 6.62 1971 
Brazil 6.19 1961 
Brazil 6.14 1962 
Brazil 6.06 1963 
Brazil 5.95 1964 
Brazil 5.82 1965 
Brazil 5.66 1966 
Brazil 5.49 1967 
Brazil 5.33 1968 
Brazil 5.17 1969 
Brazil 5.02 1970 
Brazil 4.9 1971 
Brunei 6.49 1961 
Brunei 6.45 1962 
Brunei 6.36 1963 
Brunei 6.23 1964 
Brunei 6.07 1965 
Brunei 5.92 1966 
Brunei 5.8 1967 
Brunei 5.74 1968 
Brunei 5.73 1969 
Brunei 5.75 1970 
Brunei 5.77 1971 
Bulgaria 2.23 1961 
Bulgaria 2.21 1962 
Bulgaria 2.2 1963 
Bulgaria 2.18 1964 
Bulgaria 2.17 1965 
Bulgaria 2.15 1966 
Bulgaria 2.14 1967 
Bulgaria 2.13 1968 
Bulgaria 2.13 1969 
Bulgaria 2.14 1970 
Bulgaria 2.14 1971 
Burkina Faso 6.32 1961 
Burkina Faso 6.34 1962 
Burkina Faso 6.38 1963 
Burkina Faso 6.41 1964 
Burkina Faso 6.45 1965 
Burkina Faso 6.49 1966 
Burkina Faso 6.53 1967 
Burkina Faso 6.56 1968 
Burkina Faso 6.59 1969 
Burkina Faso 6.62 1970 
Burkina Faso 6.66 1971 
Burundi 7 1961 
Burundi 7.05 1962 
Burundi 7.09 1963 
Burundi 7.14 1964 
Burundi 7.18 1965 
Burundi 7.22 1966 
Burundi 7.25 1967 
Burundi 7.27 1968 
Burundi 7.28 1969 
