country rate year 
Botswana 2 1965 
Botswana 2 1966 
Botswana 2 1967 
Botswana 2 1968 
Botswana 2 1969 
Botswana 2 1970 
Botswana 2 1971 
Brazil 2 1961 
Brazil 2 1962 
Brazil 2 1963 
Brazil 2 1964 
Brazil 2 1965 
Brazil 2 1966 
Brazil 2 1967 
Brazil 2 1968 
Brazil 2 1969 
Brazil 2 1970 
Brazil 2 1971 
Brunei 2 1961 
Brunei 2 1962 
Brunei 2 1963 
Brunei 2 1964 
Brunei 2 1965 
Brunei 2 1966 
Brunei 2 1967 
Brunei 2 1968 
Brunei 2 1969 
Brunei 2 1970 
Brunei 2 1971 
Bulgaria 1 1961 
Bulgaria 1 1962 
Bulgaria 1 1963 
Bulgaria 1 1964 
Bulgaria 1 1965 
Bulgaria 1 1966 
Bulgaria 1 1967 
Bulgaria 1 1968 
Bulgaria 1 1969 
Bulgaria 1 1970 
Bulgaria 1 1971 
Burkina Faso 2 1961 
Burkina Faso 2 1962 
Burkina Faso 2 1963 
Burkina Faso 2 1964 
Burkina Faso 2 1965 
Burkina Faso 2 1966 
Burkina Faso 2 1967 
Burkina Faso 2 1968 
Burkina Faso 2 1969 
Burkina Faso 2 1970 
Burkina Faso 2 1971 
Burundi 2 1961 
Burundi 2 1962 
Burundi 2 1963 
Burundi 2 1964 
Burundi 2 1965 
Burundi 2 1966 
Burundi 2 1967 
Burundi 2 1968 
Burundi 2 1969 
Burundi 2 1970 
Burundi 2 1971 
Cambodia 2 1961 
Cambodia 2 1962 
Cambodia 2 1963 
Cambodia 2 1964 
Cambodia 2 1965 
Cambodia 2 1966 
Cambodia 2 1967 
Cambodia 2 1968 
Cambodia 2 1969 
Cambodia 2 1970 
Cambodia 3 1971 
Cameroon 2 1961 
Cameroon 2 1962 
Cameroon 2 1963 
Cameroon 2 1964 
Cameroon 2 1965 
Cameroon 2 1966 
Cameroon 2 1967 
Cameroon 2 1968 
Cameroon 2 1969 
Cameroon 2 1970 
Cameroon 2 1971 
Canada 1 1961 
Canada 1 1962 
Canada 1 1963 
Canada 1 1964 
Canada 1 1965 
Canada 1 1966 
Canada 1 1967 
Canada 1 1968 
Canada 1 1969 
Canada 1 1970 
Canada 1 1971 
Cape Verde 2 1961 
Cape Verde 2 1962 
Cape Verde 2 1963 
Cape Verde 2 1964 
Cape Verde 2 1965 
Cape Verde 2 1966 
Cape Verde 2 1967 
Cape Verde 2 1968 
Cape Verde 2 1969 
Cape Verde 2 1970 
Cape Verde 2 1971 
Central African Republic 2 1961 
Central African Republic 2 1962 
Central African Republic 2 1963 
Central African Republic 2 1964 
Central African Republic 2 1965 
Central African Republic 2 1966 
Central African Republic 2 1967 
Central African Republic 2 1968 
Central African Republic 2 1969 
Central African Republic 2 1970 
Central African Republic 2 1971 
Chad 2 1961 
Chad 2 1962 
Chad 2 1963 
Chad 2 1964 
Chad 2 1965 
Chad 2 1966 
Chad 2 1967 
Chad 2 1968 
Chad 2 1969 
Chad 2 1970 
Chad 2 1971 
Chile 2 1961 
Chile 2 1962 
Chile 2 1963 
Chile 2 1964 
Chile 2 1965 
Chile 2 1966 
Chile 2 1967 
Chile 2 1968 
Chile 2 1969 
Chile 2 1970 
Chile 2 1971 
China 3 1961 
China 3 1962 
China 3 1963 
China 3 1964 
China 3 1965 
China 3 1966 
China 3 1967 
China 3 1968 
China 3 1969 
China 3 1970 
China 3 1971 
Colombia 2 1961 
Colombia 2 1962 
Colombia 2 1963 
Colombia 2 1964 
Colombia 2 1965 
Colombia 2 1966 
Colombia 2 1967 
Colombia 2 1968 
Colombia 2 1969 
Colombia 2 1970 
Colombia 2 1971 
Comoros 2 1961 
Comoros 2 1962 
Comoros 2 1963 
Comoros 2 1964 
Comoros 2 1965 
Comoros 2 1966 
Comoros 2 1967 
Comoros 2 1968 
Comoros 2 1969 
Comoros 2 1970 
Comoros 2 1971 
Congo Dem. Rep. 2 1961 
Congo Dem. Rep. 2 1962 
Congo Dem. Rep. 2 1963 
Congo Dem. Rep. 2 1964 
Congo Dem. Rep. 2 1965 
Congo Dem. Rep. 2 1966 
Congo Dem. Rep. 2 1967 
Congo Dem. Rep. 2 1968 
Congo Dem. Rep. 2 1969 
Congo Dem. Rep. 2 1970 
Congo Dem. Rep. 2 1971 
Congo Rep. 2 1961 
Congo Rep. 2 1962 
Congo Rep. 2 1963 
Congo Rep. 2 1964 
Congo Rep. 2 1965 
Congo Rep. 2 1966 
Congo Rep. 2 1967 
Congo Rep. 2 1968 
Congo Rep. 2 1969 
Congo Rep. 2 1970 
Congo Rep. 2 1971 
Costa Rica 2 1961 
Costa Rica 2 1962 
Costa Rica 2 1963 
Costa Rica 2 1964 
Costa Rica 2 1965 
Costa Rica 2 1966 
Costa Rica 2 1967 
Costa Rica 2 1968 
Costa Rica 2 1969 
Costa Rica 2 1970 
Costa Rica 2 1971 
Cote d'Ivoire 2 1961 
Cote d'Ivoire 2 1962 
Cote d'Ivoire 2 1963 
Cote d'Ivoire 2 1964 
Cote d'Ivoire 2 1965 
Cote d'Ivoire 2 1966 
Cote d'Ivoire 2 1967 
Cote d'Ivoire 2 1968 
Cote d'Ivoire 2 1969 
Cote d'Ivoire 2 1970 
Cote d'Ivoire 2 1971 
Croatia 2 1961 
Croatia 2 1962 
Croatia 2 1963 
Croatia 2 1964 
Croatia 2 1965 
